TIME,Cp[0]:1,Cp[1]:1,Cp[2]:1,Cp[3]:1,Cp[4]:1,Cp[5]:1,Cp[6]:1,Cp[7]:1,Cp[8]:1,Cp[9]:1,Cp[10]:1,Cp[11]:1,Cp[12]:1,Cp[13]:1,Cp[14]:1,Cp[15]:1,Cp[16]:1,Cp[17]:1,Cp[18]:1,Cp[19]:1,Cp[20]:1
5.6,0.92575627,1.04499983,1.1257512,1.18791123,1.17655605,1.15487101,1.14638036,1.07821355,1.38892125,1.23863866,1.09628558,1.32785654,1.03955805,1.33449382,1.06333661,1.34844601,1.26334768,1.17676504,1.06787656,1.20812419,1.03684337
5.62,1.13013376,0.93058211,1.01090886,1.20322803,0.96383674,1.22818248,1.00333928,1.04592812,1.14657823,1.17040279,1.20950145,1.14938994,0.95782811,1.07470802,0.90887052,1.10386867,1.16570544,1.26202034,1.12210257,1.02983829,1.1332113
5.64,1.26561022,1.24656853,1.11972867,1.30693874,1.07470038,1.16605536,1.08743191,1.15388648,1.11043826,1.00098314,1.19438769,0.94476278,1.18639528,1.1805467,1.13965645,1.18538789,1.31461525,1.19013541,1.09279013,1.4630924,0.98982607
5.66,1.24295912,0.94755353,1.28724485,0.97411496,1.05597179,1.07105421,1.19655255,1.18971154,1.1461589,1.38291566,0.89307696,1.08646154,1.02118075,1.14842684,1.27951851,1.1322225,1.27821988,0.98051414,1.1309157,1.05113076,1.27947605
5.68,1.02131203,0.99560818,0.94699498,1.14001998,1.09375172,1.13981834,0.84515248,1.29817392,1.08685983,1.16888154,1.26654891,1.03595454,1.1050449,1.219653,1.19957347,1.20875675,0.98301915,1.28343073,1.15087183,1.19902139,1.14948276
5.7,1.28710386,0.98130079,1.04340185,1.15210814,1.12070897,1.05598888,1.2079121,0.99071602,0.99667987,1.15623256,1.12482875,0.99474183,1.24548535,0.97616474,1.13675773,1.11807222,0.95640008,1.09961691,1.30928216,1.244486,0.98841568
5.72,1.17009621,1.22518871,1.11743982,1.10546273,0.90742116,1.09796204,0.95944106,1.17594574,1.1891421,1.13904687,1.25461428,1.03861188,1.21689074,1.09444666,1.25061208,1.15561486,0.98880568,1.09516064,1.22654128,1.07968288,0.94427572
5.74,1.15836852,0.94680106,0.96954829,1.17915628,1.14376813,1.11392463,1.07347388,1.06667346,1.19809205,1.05431284,1.07017148,1.0462,1.00913035,0.94487034,1.10830805,1.0977321,1.17029664,1.04529017,1.10335492,1.0631693,1.12345328
5.76,0.96205162,1.0336048,1.11917128,1.16366028,0.97207028,0.90816572,0.9096446,1.16190914,1.00968932,0.93143183,1.06748638,1.17406566,1.02833593,1.42583912,1.20569635,0.96457137,1.12881283,1.20611044,0.97836737,1.05293203,1.01193783
5.78,1.05772026,1.15495722,1.02404869,1.04205363,0.95662198,1.1627988,0.96631585,1.00925689,0.93922263,1.15710484,1.03606945,0.98318316,1.13447704,1.07233716,1.11126114,1.0347605,1.18972493,0.95419947,0.85682213,1.17261214,0.98943403
5.8,1.07356335,0.95330684,0.84981951,0.92561906,1.06896963,0.92891918,1.14969893,1.05905098,1.08832565,1.11335604,1.04924975,1.06680565,0.97166592,1.07950237,0.87881428,1.04349463,1.23610183,1.10319119,1.07970287,0.77676102,0.93127099
5.82,0.79530494,0.98724072,0.94499649,0.94300247,0.96852696,1.12578795,1.01110099,1.05447318,1.08289541,1.04286518,1.0551406,1.06613846,0.98352692,0.94610438,1.04630597,1.14742097,1.15815168,0.95180675,1.21406437,1.17174723,1.126795
5.84,0.75018842,1.06950566,0.93336261,1.06228136,1.05778594,1.03312858,0.82220609,1.00584131,1.02429596,0.87588257,0.93822732,1.10588742,1.06015343,0.87415987,1.0070242,1.07990591,0.8715206,1.11475971,0.83722868,0.97796969,0.85357791
5.86,1.18473597,0.9519906,0.8864678,1.07636426,1.14148064,0.93073888,1.12503332,1.11229615,1.06936328,1.11058261,0.95412238,1.03391308,1.27145481,1.04817945,1.02468483,0.96697802,0.94979182,1.15416723,1.02884681,0.9324748,1.07620788
5.88,0.96721203,0.84690052,1.02712886,1.07011367,1.06175067,0.94339991,0.8966645,0.96697877,0.95621712,0.90385151,0.81850936,0.84183483,0.93324446,1.14809964,0.85060998,0.93468409,0.94857372,1.10325903,1.02361533,0.8640492,0.96511682
5.9,0.9860881,1.02421511,1.17755344,1.04738161,1.09343432,0.97151426,0.82606989,1.07846219,0.93701459,1.08688408,0.90972469,0.99969666,1.1799754,0.92500206,1.0606522,1.08880123,1.10174053,1.06596199,0.97284555,1.14339143,0.99426796
5.92,0.77879371,0.9518196,0.99098182,1.06704076,1.11852999,0.83817966,1.14770048,1.02287977,0.87323389,1.02703472,0.8114898,0.90660937,0.8695433,1.03633154,0.98370782,0.85566675,1.17049897,1.14106645,0.99717852,1.02654953,1.0463115
5.94,0.95042698,0.99252818,0.86442661,1.07489973,1.01974967,0.80472379,1.05716755,1.05178234,0.99761344,1.00353253,1.04700913,0.99043574,0.88843776,0.99379892,0.94070045,0.8892162,0.94805258,0.88676313,0.9403481,1.04994969,1.03867308
5.96,1.14083161,0.817136,1.07916924,1.02889231,0.96645141,0.912,1.08146697,0.90660197,1.00666377,0.9575484,1.17479969,1.00877069,0.87302847,0.9798516,0.94541109,1.04726082,1.16701139,0.85608459,0.88105628,1.02421013,0.81904695
5.98,1.02284366,0.97751976,1.06035198,0.92351971,0.97246741,1.07149936,0.94770819,0.9913384,0.87729068,0.91810654,0.88593708,0.82946137,0.98739096,0.94087814,1.10762112,0.79156114,0.94234412,0.95150866,1.06741511,1.01469524,0.95429478
